time,dx,dy,dz
1725366448386,-0.041720297080103705,-0.011140909295848335,0.04232488634549229
1725366448430,-0.041878285449598596,-0.010717411924997589,0.04198070230314824
1725366448546,-0.042076190062894155,-0.009880601102309448,0.04160892557646741
1725366448593,-0.04218617320879426,-0.009065040427594035,0.04094681278614012
1725366448709,-0.04194410040759183,-0.008648802934843706,0.03971923661080827
1725366448751,-0.04107353189537339,-0.008882467838378944,0.037749063588509456
1725366448870,-0.03939736081148703,-0.00985598842573246,0.03500579884267608
1725366448910,-0.036895522448131636,-0.011502813809385476,0.03158746393321466
1725366449030,-0.033698575433766316,-0.013636648281192367,0.027667119302075962
1725366449075,-0.030034407738680626,-0.016011770130645264,0.023445998323248764
1725366449192,-0.02615640213716026,-0.018390256232449248,0.019135415213349043
1725366449236,-0.02227744925708107,-0.020595166700064286,0.014957678299701238
1725366449352,-0.018525380391404615,-0.022536265905449653,0.011138706593435481
1725366449393,-0.014929482078361644,-0.02421216119261905,0.007874827590441058
1725366449513,-0.011443461658124628,-0.025704305443342686,0.005282244536198977
1725366449560,-0.00800126228763006,-0.02716950689012982,0.003355970717311372
1725366449674,-0.004587248888637919,-0.02881392445419361,0.001961435536895542
1725366449718,-0.0012899673101675671,-0.030819604212952805,0.000863621040211815
1725366449835,0.0016898443176964761,-0.03321727741455993,-0.00021701703336604488
1725366449878,0.004088301594902062,-0.03574831465418547,-0.0015371413107097085
1725366449996,0.005670171268904435,-0.03779723768993406,-0.003266042284788981
1725366450041,0.006329262179684005,-0.03846839309036827,-0.0054394828364306156
1725366450157,0.006158069879130469,-0.03682119676607437,-0.007948771975760872
1725366450204,0.005457774776289976,-0.0321971782497271,-0.010576337927450394
1725366450319,0.004680298256929549,-0.02451376806646495,-0.013072439195366943
1725366450361,0.004316669608885801,-0.014398074120496315,-0.01524599188702211
1725366450480,0.004763266663232088,-0.003092186175829143,-0.017029658078039318
1725366450526,0.006205510022279461,0.007848210588139937,-0.01848757247380908
1725366450641,0.008555600788342353,0.016959823297229636,-0.019762415878660552
1725366450682,0.011466358134741724,0.02324256386350523,-0.02099004975202751
1725366450802,0.014419738484874902,0.026372315675700277,-0.022224629550547364
1725366450848,0.016864240933123154,0.026696331286732697,-0.023408747175761458
1725366450963,0.018360094120740977,0.025036418649618572,-0.024400393426328857
1725366451006,0.0186897977851233,0.02239245990756142,-0.02504275664448445
1725366451124,0.017902566928473293,0.01965800647226638,-0.02524216564941353
1725366451166,0.01628075819293607,0.017429176050160044,-0.025012704614335014
1725366451287,0.014240954249711746,0.015935854003594204,-0.024461389654722
1725366451331,0.01220582470029732,0.015082210083231639,-0.023721795135343275
1725366451446,0.010494758928725556,0.014563431346515401,-0.022876644835078043
1725366451487,0.009272630097868684,0.014018835278443038,-0.021917587705615107
1725366451609,0.00856817762297034,0.013178143109919806,-0.020766489067238974
1725366451649,0.008340034421847484,0.011959027516342048,-0.01934395299206798
